TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX7344791	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:120-4129
EXPERIMENT	ERX7344792	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:121-4131
EXPERIMENT	ERX7344793	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:121-4133
EXPERIMENT	ERX7344794	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:122-4135
EXPERIMENT	ERX7344795	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:122-4137
EXPERIMENT	ERX7344796	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:123-4139
EXPERIMENT	ERX7344797	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:123-4141
EXPERIMENT	ERX7344798	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:123-4143
EXPERIMENT	ERX7344799	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:124-4145
EXPERIMENT	ERX7344800	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:124-4147
EXPERIMENT	ERX7344801	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:124-4149
EXPERIMENT	ERX7344802	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:125-4151
EXPERIMENT	ERX7344803	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:125-4153
EXPERIMENT	ERX7344804	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:125-4155
EXPERIMENT	ERX7344805	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:126-4157
EXPERIMENT	ERX7344806	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:126-4159
EXPERIMENT	ERX7344807	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:126-4161
EXPERIMENT	ERX7344808	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:127-4163
EXPERIMENT	ERX7344809	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:127-4165
EXPERIMENT	ERX7344810	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:127-4167
EXPERIMENT	ERX7344811	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:128-4169
EXPERIMENT	ERX7344812	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:128-4171
EXPERIMENT	ERX7344813	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:128-4173
EXPERIMENT	ERX7344814	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:129-4175
EXPERIMENT	ERX7344815	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:129-4177
EXPERIMENT	ERX7344816	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:129-4179
EXPERIMENT	ERX7344817	ena-EXPERIMENT-TAB-19-12-2021-14:37:36:130-4181
