FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5
20190610_R941_CBF5GAL	PRJEB48183	MinION	CBF5GAL	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20190610_R941_CBF5GAL.fastq.gz	f2a7b65db5e10f31d959aa90cc9a69af
20190611_R941_CBF5GLU	PRJEB48183	MinION	CBF5GLU	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20190611_R941_CBF5GLU.fastq.gz	faaf1f633c5dcfca3151dfb90921f9f4
20190617_R941_NOP58GAL	PRJEB48183	MinION	NOP58GAL	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20190617_R941_NOP58GAL.fastq.gz	76aa29478eeec1f792a2c33c78655906
20190619_R941_NOP58GLU	PRJEB48183	MinION	NOP58GLU	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20190619_R941_NOP58GLU.fastq.gz	5eb3cd96412b1bb5651d5abc6a69f107
20191014_R941_IVT	PRJEB48183	MinION	IVT	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20191014_R941_IVT.fastq.gz	edb2df328d6dd7d31d6935175b7cd115
20210405_R941_mutant448	PRJEB48183	MinION	mutant448	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210405_R941_mutant448.fastq.gz	b082967344736ea13abd0ace6e2ba98b
20210410_R941_WT_YPD	PRJEB48183	MinION	WT_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210410_R941_WT_YPD.fastq.gz	18c780614b3dd69d50fb4490dddacccb
20210412_R941_WT_KOAC	PRJEB48183	MinION	WT_KOAC	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210412_R941_WT_KOAC.fastq.gz	34738ef21bd376dec75da974949005a1
20210413_R941_mutant452	PRJEB48183	MinION	mutant452	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210413_R941_mutant452.fastq.gz	86c1ce10583df4da2add632a93b1f679
20210414_R941_WT_CY	PRJEB48183	MinION	WT_CY	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210414_R941_WT_CY.fastq.gz	17b121c5a374da28f07eefd187c76869
20210415_R941_mutant451	PRJEB48183	MinION	mutant451	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210415_R941_mutant451.fastq.gz	ee5dd3901d3e4d9cd2233161b9a4015d
20210521_R941_WT_stationary	PRJEB48183	MinION	WT_stationary	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210521_R941_WT_stationary.fastq.gz	93cf4839f50164b99e67679f6ef1d041
20210527_R941_Dbp3d_YPD	PRJEB48183	MinION	Dbp3d_YPD	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210527_R941_Dbp3d_YPD.fastq.gz	5f236c05e7bfb80b7403490016a46945
20210531_R941_WT_rapa5	PRJEB48183	MinION	WT_rapa5	TRANSCRIPTOMIC	Hybrid Selection	ncRNA-Seq	SINGLE	20210531_R941_WT_rapa5.fastq.gz	0e9a53c0d10d28a261929a5af7b6a7b1
